"listingValue","product_name","product_url","product_features_name","product_features_Values_name","remove"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Numbers","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Keynote","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Siri","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Safari","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Mail","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","FaceTime","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Messages","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Maps","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","News","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Stocks","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Home","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Voice Memos","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Notes","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Calendar","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Contacts","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Reminders","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Photo Booth","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Preview","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Music","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Podcasts","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","TV","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Books","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","App Store","1"
